State,Voting Eligible Population (VEP)
New Jersey,5921000
Minnesota,4142000
Mississipi,2177000
Oregon,3242000
Maryland,4303000
New Hampshire,1077000
Montana,827000
Maine,1075000
North Dakota,556000
Ohio,8740000
Wisconsin,4421000
Arizona,5075000
Pennsylvania,9621000
Virginia,5974000
Iowa,2293000
Kentucky,3227000
Missouri,4475000
Delaware,722000
Washington,5389000
Illinois,8860000
Tennessee,5038000
Alaska,516000
Rhode Island,776000
Michigan,7467000
Connecticut,2524000
Vermont,500000
Massachusetts,4897000
Texas,18581000
Colorado,4200000
Nebraska,1369000
Kansas,1975000
Georgia,7400000
New Yrok,13298000
South Carolina,3878000
North Carolina,7391000
California,25946000
Indiana,4921000
Wyoming,427000
Louisiana,3299000
Idaho,1299000
Hawaii,980000
New Mexico,1498000
Alabama,3716000
Utah,2178000
South Dakota,649000
West Virginia,1379000
Oklahoma,2800000
Florida,15645000
Nevada,2198000
Arkansas,2195000